transaction_id,investor_id,action,product_type,product_risk_level,amount,date,hold_days,market_change_pct,decision_source,sell_decision_source,is_chasing
TX000024,INV0001,sell,fund,4,20968,2024-08-05,105.0,6.83,,need_cash,
TX000025,INV0001,buy,mixed_medium,3,13533,2025-06-10,,,social_media,,False
TX000026,INV0002,buy,deposit,1,10124,2025-05-14,,,self,,False
TX000027,INV0002,sell,savings_insurance,1,20362,2025-03-12,265.0,21.91,,need_cash,
TX000028,INV0002,buy,money_market,2,16536,2025-05-01,,,social_media,,True
TX000029,INV0002,sell,deposit,1,45317,2024-07-17,275.0,-1.11,,panic,
TX000030,INV0002,buy,savings_insurance,1,23118,2024-08-26,,,self,,False
TX000031,INV0003,buy,stock,4,4729,2025-08-28,,,advisor,,False
TX000032,INV0003,buy,etf,4,4227,2025-04-20,,,social_media,,True
TX000033,INV0003,sell,stock,4,4754,2025-06-16,419.0,-10.57,,panic,
TX000034,INV0003,buy,etf,4,8818,2024-07-24,,,social_media,,False
TX000035,INV0003,buy,fund,4,6097,2024-09-01,,,advisor,,False
TX000036,INV0003,buy,fund,4,6466,2025-09-03,,,social_media,,False
TX000037,INV0003,sell,crypto,5,8507,2024-09-24,215.0,13.65,,rational_take_profit,
TX000038,INV0003,sell,etf,4,4321,2024-07-14,268.0,1.27,,need_cash,
TX000039,INV0003,buy,stock,4,5553,2024-10-31,,,friend,,False
TX000040,INV0003,sell,stock,4,8460,2025-12-23,62.0,13.88,,rational_take_profit,
TX000041,INV0004,sell,fund,4,16651,2025-01-25,596.0,4.49,,rational_take_profit,
TX000042,INV0004,buy,bond,2,7053,2024-08-21,,,social_media,,True
TX000043,INV0004,sell,mixed_medium,3,15553,2024-08-20,467.0,2.94,,rational_take_profit,
TX000044,INV0004,sell,fund,4,13632,2024-12-09,173.0,0.36,,follow_others,
TX000045,INV0004,buy,mixed_medium,3,8003,2024-08-20,,,friend,,True
TX000046,INV0004,buy,fund,4,18459,2024-12-17,,,social_media,,False
TX000047,INV0004,buy,mixed_medium,3,4769,2025-02-23,,,social_media,,True
TX000048,INV0004,buy,mixed_medium,3,6551,2025-10-24,,,social_media,,True
TX000049,INV0004,sell,bond,2,17709,2024-10-25,642.0,-11.73,,panic,
TX000050,INV0004,buy,mixed_medium,3,9841,2024-09-19,,,self,,False
TX000051,INV0004,sell,fund,4,5329,2025-12-21,411.0,-9.28,,follow_others,
TX000052,INV0004,buy,mixed_medium,3,3263,2025-09-13,,,social_media,,True
TX000053,INV0004,sell,fund,4,6381,2025-01-10,613.0,-6.85,,follow_others,
TX000054,INV0004,sell,bond,2,7325,2025-11-26,414.0,-9.1,,rational_stop_loss,
TX000055,INV0004,sell,mixed_medium,3,15209,2025-10-20,365.0,-9.87,,panic,
TX000056,INV0004,buy,mixed_medium,3,12818,2024-07-17,,,social_media,,False
TX000057,INV0004,sell,mixed_medium,3,13330,2025-01-20,352.0,-10.87,,need_cash,
TX000058,INV0004,buy,bond,2,14609,2025-01-04,,,advisor,,False
TX000059,INV0004,buy,mixed_low,3,17822,2025-09-02,,,friend,,False
TX000060,INV0004,buy,mixed_low,3,7442,2025-05-18,,,social_media,,False
TX000061,INV0004,sell,mixed_medium,3,5012,2025-12-01,424.0,-10.32,,rational_stop_loss,
TX000062,INV0004,sell,mixed_low,3,11586,2024-12-03,77.0,15.42,,panic,
TX000063,INV0004,buy,mixed_medium,3,7425,2025-10-01,,,advisor,,False
TX000064,INV0004,buy,mixed_low,3,6809,2024-08-23,,,friend,,True
TX000065,INV0004,buy,mixed_medium,3,16779,2024-08-29,,,social_media,,True
TX000066,INV0005,buy,deposit,1,17155,2025-10-29,,,social_media,,False
TX000067,INV0005,buy,deposit,1,16854,2025-09-24,,,advisor,,False
TX000068,INV0005,sell,deposit,1,11933,2025-11-10,38.0,4.11,,follow_others,
TX000069,INV0005,sell,savings_insurance,1,17004,2025-08-25,129.0,16.88,,rational_take_profit,
TX000070,INV0005,buy,money_market,2,18075,2025-08-31,,,advisor,,False
TX000071,INV0005,sell,money_market,2,18560,2025-11-26,51.0,14.77,,follow_others,
TX000072,INV0005,buy,deposit,1,13907,2025-03-09,,,friend,,True
TX000073,INV0005,sell,savings_insurance,1,6973,2025-05-25,66.0,-2.44,,follow_others,
TX000074,INV0005,buy,savings_insurance,1,18915,2024-12-22,,,friend,,False
TX000075,INV0005,sell,deposit,1,18098,2025-02-27,47.0,19.3,,panic,
TX000076,INV0005,sell,deposit,1,13391,2025-01-26,43.0,-4.01,,rational_take_profit,
TX000077,INV0005,buy,deposit,1,15392,2024-09-30,,,social_media,,False
TX000078,INV0005,sell,deposit,1,8426,2025-06-15,133.0,9.52,,rational_take_profit,
TX000079,INV0005,sell,deposit,1,4691,2025-06-20,36.0,3.09,,follow_others,
TX000080,INV0005,buy,deposit,1,9926,2024-07-25,,,friend,,True
TX000081,INV0005,sell,savings_insurance,1,11505,2025-11-08,98.0,7.73,,rational_take_profit,
TX000082,INV0005,buy,money_market,2,12177,2024-09-28,,,social_media,,True
TX000083,INV0005,buy,money_market,2,14094,2025-04-24,,,self,,False
TX000084,INV0005,buy,money_market,2,11751,2024-11-29,,,friend,,False
TX000085,INV0005,sell,deposit,1,6049,2025-12-19,37.0,9.58,,rational_take_profit,
TX000086,INV0005,sell,money_market,2,16987,2024-12-24,79.0,11.43,,rational_take_profit,
TX000087,INV0006,sell,fund,4,2856,2025-04-07,12.0,-5.98,,panic,
TX000088,INV0006,sell,fund,4,3481,2025-03-05,34.0,-13.49,,panic,
TX000089,INV0006,sell,etf,4,1125,2024-10-11,17.0,-3.41,,follow_others,
TX000090,INV0006,buy,mixed_medium,3,3211,2024-12-12,,,social_media,,True
TX000091,INV0006,sell,fund,4,1033,2024-11-07,22.0,-14.77,,follow_others,
TX000092,INV0006,buy,mixed_medium,3,3601,2025-12-14,,,self,,False
TX000093,INV0006,buy,etf,4,1500,2025-04-15,,,self,,False
TX000094,INV0006,sell,stock,4,3296,2024-11-02,13.0,0.83,,rational_take_profit,
TX000095,INV0006,sell,stock,4,566,2024-09-05,12.0,-18.4,,need_cash,
TX000096,INV0006,buy,etf,4,624,2025-03-28,,,friend,,False
TX000097,INV0006,buy,mixed_medium,3,1974,2025-03-06,,,self,,True
TX000098,INV0006,sell,stock,4,3294,2025-07-29,47.0,-9.32,,panic,
TX000099,INV0006,buy,fund,4,2897,2024-08-13,,,friend,,False
TX000100,INV0006,sell,fund,4,827,2024-07-25,23.0,-4.02,,need_cash,
TX000101,INV0006,buy,etf,4,3642,2024-11-20,,,self,,False
TX000102,INV0006,buy,stock,4,2203,2025-11-13,,,advisor,,True
TX000103,INV0006,buy,stock,4,2108,2024-12-27,,,social_media,,False
TX000104,INV0006,buy,etf,4,1297,2024-12-13,,,social_media,,False
TX000105,INV0006,buy,stock,4,1442,2025-06-03,,,self,,True
TX000106,INV0006,buy,stock,4,2345,2025-01-04,,,social_media,,False
TX000107,INV0006,buy,stock,4,1795,2025-06-30,,,self,,False
TX000108,INV0007,sell,stock,4,3661,2025-10-17,106.0,-4.7,,rational_take_profit,
TX000109,INV0007,sell,etf,4,574,2025-06-06,76.0,-18.4,,panic,
TX000110,INV0007,buy,stock,4,2590,2024-11-13,,,advisor,,False
TX000111,INV0007,sell,stock,4,630,2025-08-28,18.0,14.49,,need_cash,
TX000112,INV0007,sell,fund,4,3717,2025-02-28,159.0,-17.43,,follow_others,
TX000113,INV0007,sell,fund,4,3003,2025-02-21,111.0,13.46,,rational_take_profit,
TX000114,INV0007,buy,crypto,5,864,2025-12-30,,,self,,False
TX000115,INV0007,sell,stock,4,2884,2024-11-07,81.0,-1.32,,follow_others,
TX000116,INV0007,sell,crypto,5,1791,2024-10-11,48.0,-4.78,,follow_others,
TX000117,INV0007,sell,crypto,5,2224,2025-07-14,117.0,-16.14,,panic,
TX000118,INV0007,buy,stock,4,3867,2024-10-03,,,friend,,False
TX000119,INV0007,buy,fund,4,2910,2025-01-02,,,advisor,,False
TX000120,INV0007,sell,fund,4,1218,2025-12-02,74.0,0.63,,rational_take_profit,
TX000121,INV0007,buy,etf,4,1063,2024-09-03,,,self,,False
TX000122,INV0007,buy,stock,4,594,2024-07-20,,,social_media,,False
TX000123,INV0007,sell,stock,4,3781,2024-12-21,99.0,-9.57,,follow_others,
TX000124,INV0007,buy,fund,4,1964,2025-03-29,,,social_media,,False
TX000125,INV0008,sell,money_market,2,3057,2025-07-25,189.0,19.35,,rational_take_profit,
TX000126,INV0008,sell,mixed_low,3,764,2025-11-18,37.0,0.09,,need_cash,
TX000127,INV0008,buy,money_market,2,1852,2025-08-16,,,self,,False
TX000128,INV0008,sell,money_market,2,877,2025-08-31,114.0,1.18,,need_cash,
TX000129,INV0008,sell,bond,2,3266,2025-03-18,153.0,24.16,,rational_take_profit,
TX000130,INV0009,sell,mixed_medium,3,33697,2025-12-08,200.0,13.2,,rational_take_profit,
TX000131,INV0009,sell,mixed_medium,3,20328,2025-04-23,61.0,22.53,,panic,
TX000132,INV0009,sell,mixed_medium,3,29475,2025-05-11,327.0,17.83,,need_cash,
TX000133,INV0009,buy,mixed_medium,3,33407,2025-06-04,,,self,,False
TX000134,INV0009,sell,mixed_low,3,15190,2025-10-30,333.0,-11.35,,rational_stop_loss,
TX000135,INV0009,buy,bond,2,9865,2024-10-21,,,self,,False
TX000136,INV0009,sell,mixed_low,3,25002,2024-12-27,235.0,8.57,,rational_take_profit,
TX000137,INV0009,sell,mixed_low,3,24017,2024-10-26,408.0,-7.38,,rational_stop_loss,
TX000138,INV0009,buy,mixed_low,3,32660,2025-06-17,,,self,,False
TX000139,INV0009,sell,bond,2,17233,2025-04-01,470.0,19.48,,follow_others,
TX000140,INV0009,sell,bond,2,37470,2025-07-10,279.0,19.89,,rational_take_profit,
TX000141,INV0009,buy,bond,2,11218,2024-08-24,,,social_media,,True
TX000142,INV0009,buy,fund,4,12478,2025-03-26,,,advisor,,False
TX000143,INV0009,sell,fund,4,30476,2025-06-22,58.0,19.21,,rational_take_profit,
TX000144,INV0009,sell,mixed_low,3,19195,2024-12-04,232.0,-5.68,,rational_stop_loss,
TX000145,INV0009,sell,mixed_medium,3,14757,2025-01-24,455.0,20.92,,rational_take_profit,
TX000146,INV0009,sell,mixed_low,3,21750,2025-04-01,282.0,15.04,,rational_take_profit,
TX000147,INV0009,sell,mixed_low,3,15433,2025-08-17,198.0,24.42,,panic,
TX000148,INV0009,buy,fund,4,23716,2025-02-10,,,self,,False
TX000149,INV0009,buy,mixed_medium,3,14950,2025-11-12,,,self,,False
TX000150,INV0009,sell,mixed_low,3,15646,2025-09-19,428.0,20.26,,rational_take_profit,
TX000151,INV0009,sell,mixed_medium,3,6486,2025-12-09,376.0,-12.38,,need_cash,
TX000152,INV0009,buy,fund,4,16250,2025-01-31,,,advisor,,False
TX000153,INV0010,buy,bond,2,12239,2025-05-24,,,advisor,,False
TX000154,INV0010,buy,mixed_medium,3,6939,2025-06-07,,,self,,False
TX000155,INV0010,buy,mixed_low,3,2836,2025-01-15,,,advisor,,False
TX000156,INV0010,sell,mixed_medium,3,2939,2025-04-17,45.0,-8.31,,need_cash,
TX000157,INV0010,sell,bond,2,5337,2025-07-04,45.0,1.72,,rational_take_profit,
TX000158,INV0010,sell,mixed_low,3,14395,2025-05-21,19.0,-2.68,,follow_others,
TX000159,INV0010,sell,fund,4,9185,2025-12-18,42.0,-14.55,,panic,
TX000160,INV0010,sell,mixed_medium,3,2189,2024-10-07,39.0,13.83,,panic,
TX000161,INV0010,sell,mixed_medium,3,12623,2025-07-30,14.0,-9.06,,need_cash,
TX000162,INV0010,sell,mixed_low,3,13173,2024-12-09,10.0,-4.05,,need_cash,
TX000163,INV0010,buy,mixed_medium,3,7394,2024-09-04,,,self,,False
TX000164,INV0010,buy,fund,4,15825,2025-12-01,,,advisor,,False
TX000165,INV0010,buy,fund,4,8287,2024-07-31,,,self,,False
TX000166,INV0010,sell,mixed_medium,3,9676,2024-11-06,46.0,0.8,,follow_others,
TX000167,INV0010,buy,fund,4,13825,2024-07-18,,,self,,False
TX000168,INV0010,buy,mixed_low,3,7883,2025-03-28,,,social_media,,True
TX000169,INV0010,buy,mixed_medium,3,12679,2025-05-12,,,social_media,,True
TX000170,INV0010,sell,bond,2,11596,2025-02-22,23.0,1.96,,follow_others,
TX000171,INV0010,sell,mixed_medium,3,6726,2024-08-14,8.0,-3.5,,panic,
TX000172,INV0010,sell,mixed_medium,3,12618,2024-09-25,41.0,-17.39,,need_cash,
TX000173,INV0010,buy,mixed_medium,3,6378,2024-09-23,,,friend,,True
TX000174,INV0010,buy,bond,2,6783,2025-03-15,,,friend,,False
TX000175,INV0010,buy,bond,2,13870,2025-01-27,,,self,,False
TX000176,INV0010,sell,mixed_medium,3,11855,2025-07-15,22.0,-5.18,,panic,
TX000177,INV0010,buy,mixed_low,3,9631,2024-11-17,,,advisor,,False
TX000178,INV0011,sell,mixed_low,3,37061,2024-12-12,174.0,15.92,,rational_take_profit,
TX000179,INV0011,buy,money_market,2,48746,2025-11-17,,,friend,,False
TX000180,INV0011,buy,bond,2,42033,2024-12-29,,,friend,,True
TX000181,INV0011,buy,bond,2,6652,2025-01-18,,,friend,,True
TX000182,INV0011,sell,bond,2,22382,2025-04-19,354.0,1.86,,rational_take_profit,
TX000183,INV0011,sell,mixed_low,3,11177,2025-11-24,287.0,6.67,,rational_take_profit,
TX000184,INV0011,buy,mixed_low,3,44811,2025-09-04,,,social_media,,False
TX000185,INV0011,sell,money_market,2,40745,2025-11-15,247.0,-11.98,,need_cash,
TX000186,INV0011,sell,mixed_low,3,42094,2025-03-09,341.0,22.22,,rational_take_profit,
TX000187,INV0011,sell,bond,2,17227,2025-07-17,68.0,-13.89,,need_cash,
TX000188,INV0011,sell,bond,2,37116,2025-02-04,171.0,17.94,,follow_others,
TX000189,INV0011,sell,money_market,2,17101,2025-06-24,367.0,11.7,,panic,
TX000190,INV0011,buy,mixed_low,3,20067,2025-04-05,,,advisor,,False
TX000191,INV0011,sell,bond,2,12029,2024-11-28,159.0,-5.77,,follow_others,
TX000192,INV0012,sell,mixed_medium,3,5414,2025-03-24,128.0,21.62,,rational_take_profit,
TX000193,INV0012,buy,fund,4,7774,2025-08-27,,,self,,False
TX000194,INV0012,buy,fund,4,12748,2025-10-17,,,advisor,,False
TX000195,INV0012,buy,fund,4,17959,2025-03-13,,,friend,,True
TX000196,INV0012,buy,bond,2,13115,2024-08-09,,,friend,,True
TX000197,INV0012,sell,fund,4,3003,2024-10-19,300.0,-4.83,,panic,
TX000198,INV0012,buy,mixed_low,3,17603,2025-04-19,,,friend,,False
TX000199,INV0012,buy,mixed_medium,3,17075,2025-05-18,,,social_media,,False
TX000200,INV0013,buy,bond,2,23389,2025-11-29,,,self,,False
TX000201,INV0013,sell,fund,4,11655,2024-07-22,5.0,-18.26,,follow_others,
TX000202,INV0013,buy,bond,2,9230,2025-07-01,,,self,,False
TX000203,INV0013,buy,bond,2,9175,2025-06-05,,,friend,,False
TX000204,INV0013,buy,mixed_low,3,5743,2025-10-22,,,friend,,True
TX000205,INV0013,buy,mixed_medium,3,5513,2025-03-20,,,social_media,,True
TX000206,INV0013,buy,bond,2,4733,2024-10-14,,,self,,True
TX000207,INV0013,buy,bond,2,11383,2024-10-13,,,social_media,,True
TX000208,INV0013,buy,fund,4,6734,2025-11-26,,,friend,,True
TX000209,INV0013,sell,bond,2,11945,2025-04-21,14.0,-16.03,,follow_others,
TX000210,INV0013,sell,fund,4,9066,2024-11-01,16.0,-9.29,,panic,
TX000211,INV0013,sell,fund,4,6741,2024-07-23,3.0,8.0,,follow_others,
TX000212,INV0013,buy,mixed_medium,3,14007,2025-05-14,,,friend,,False
TX000213,INV0013,buy,bond,2,5623,2024-12-26,,,self,,False
TX000214,INV0013,sell,mixed_medium,3,4361,2025-11-28,2.0,-19.87,,need_cash,
TX000215,INV0013,buy,mixed_low,3,14805,2025-08-22,,,advisor,,False
TX000216,INV0013,buy,fund,4,18167,2025-02-22,,,friend,,False
TX000217,INV0013,sell,mixed_medium,3,16837,2025-06-29,23.0,-17.26,,panic,
TX000218,INV0013,buy,mixed_medium,3,7006,2025-06-23,,,self,,False
TX000219,INV0013,sell,bond,2,14420,2025-04-19,17.0,4.5,,rational_take_profit,
TX000220,INV0013,sell,fund,4,7955,2025-02-06,19.0,-4.54,,need_cash,
TX000221,INV0013,buy,fund,4,6021,2025-10-06,,,self,,False
TX000222,INV0013,buy,fund,4,13032,2025-08-14,,,friend,,True
TX000223,INV0013,buy,bond,2,19733,2025-12-20,,,self,,True
TX000224,INV0013,sell,mixed_medium,3,12283,2025-04-30,15.0,13.87,,rational_take_profit,
TX000225,INV0013,buy,fund,4,22357,2024-07-21,,,advisor,,False
TX000226,INV0013,sell,mixed_medium,3,16517,2025-03-22,2.0,-7.86,,rational_stop_loss,
TX000227,INV0013,buy,bond,2,16585,2024-12-03,,,advisor,,False
TX000228,INV0013,buy,mixed_low,3,8359,2025-09-24,,,friend,,True
TX000229,INV0013,sell,fund,4,13641,2025-03-25,5.0,-20.0,,panic,
TX000230,INV0014,sell,bond,2,4412,2025-11-03,152.0,-10.01,,need_cash,
TX000231,INV0014,sell,mixed_low,3,1916,2025-04-29,692.0,-5.04,,rational_stop_loss,
TX000232,INV0014,sell,bond,2,9087,2024-09-08,664.0,3.74,,need_cash,
TX000233,INV0014,sell,mixed_low,3,2209,2025-07-31,138.0,11.47,,panic,
TX000234,INV0014,buy,bond,2,8489,2025-08-20,,,advisor,,False
TX000235,INV0014,buy,fund,4,4990,2025-01-26,,,social_media,,True
TX000236,INV0014,buy,mixed_low,3,8874,2024-08-29,,,social_media,,True
TX000237,INV0014,buy,mixed_medium,3,2539,2025-10-21,,,friend,,True
TX000238,INV0014,buy,bond,2,8635,2024-09-14,,,advisor,,True
TX000239,INV0014,sell,mixed_medium,3,1745,2025-05-29,620.0,-3.04,,need_cash,
TX000240,INV0014,buy,mixed_medium,3,7930,2025-10-01,,,friend,,True
TX000241,INV0014,sell,mixed_medium,3,4861,2024-09-30,375.0,5.07,,rational_take_profit,
TX000242,INV0014,buy,bond,2,3761,2024-07-15,,,self,,True
TX000243,INV0014,sell,fund,4,7544,2025-03-05,92.0,-5.33,,rational_stop_loss,
TX000244,INV0014,sell,bond,2,7652,2025-06-19,414.0,-0.71,,need_cash,
TX000245,INV0014,sell,mixed_medium,3,9105,2024-08-25,208.0,-8.76,,rational_stop_loss,
TX000246,INV0014,buy,bond,2,8833,2025-06-22,,,advisor,,False
TX000247,INV0014,sell,mixed_low,3,4646,2025-06-15,272.0,20.14,,need_cash,
TX000248,INV0014,buy,mixed_low,3,8800,2024-10-12,,,advisor,,False
TX000249,INV0014,sell,mixed_medium,3,8285,2025-01-30,542.0,24.66,,rational_take_profit,
TX000250,INV0014,buy,mixed_medium,3,7042,2024-11-23,,,friend,,True
TX000251,INV0014,buy,mixed_medium,3,3329,2025-08-23,,,social_media,,False
TX000252,INV0014,sell,bond,2,7011,2024-08-28,92.0,16.23,,need_cash,
TX000253,INV0014,buy,mixed_medium,3,3500,2025-02-20,,,friend,,False
TX000254,INV0014,sell,mixed_medium,3,7224,2025-01-06,448.0,-8.74,,rational_stop_loss,
TX000255,INV0014,sell,bond,2,6707,2024-08-22,248.0,21.98,,rational_take_profit,
TX000256,INV0015,buy,fund,4,4101,2025-12-20,,,advisor,,False
TX000257,INV0015,sell,mixed_medium,3,20167,2025-04-26,172.0,0.32,,need_cash,
TX000258,INV0015,sell,fund,4,21876,2025-03-28,180.0,-6.72,,rational_stop_loss,
TX000259,INV0015,sell,mixed_medium,3,19961,2025-03-09,81.0,0.88,,panic,
TX000260,INV0015,sell,mixed_medium,3,21690,2025-07-06,198.0,8.46,,rational_take_profit,
TX000261,INV0015,sell,mixed_medium,3,8620,2025-03-29,177.0,14.25,,rational_take_profit,
TX000262,INV0015,buy,fund,4,15494,2025-08-06,,,social_media,,False
TX000263,INV0015,buy,mixed_medium,3,6245,2025-05-24,,,self,,True
TX000264,INV0015,buy,mixed_medium,3,12915,2024-10-27,,,social_media,,True
TX000265,INV0015,buy,mixed_low,3,4662,2025-06-15,,,advisor,,False
TX000266,INV0015,sell,mixed_medium,3,7754,2024-09-07,129.0,-1.81,,rational_take_profit,
TX000267,INV0015,buy,mixed_medium,3,5199,2025-05-23,,,self,,False
TX000268,INV0015,sell,bond,2,3863,2024-11-14,37.0,-5.27,,need_cash,
TX000269,INV0015,buy,mixed_medium,3,4562,2024-11-14,,,friend,,False
TX000270,INV0015,buy,mixed_medium,3,15046,2025-11-26,,,advisor,,True
TX000271,INV0015,sell,fund,4,21489,2024-12-20,47.0,-4.75,,follow_others,
TX000272,INV0015,buy,fund,4,5725,2024-09-27,,,self,,False
TX000273,INV0015,sell,mixed_medium,3,7782,2024-07-15,110.0,19.71,,need_cash,
TX000274,INV0015,sell,mixed_medium,3,12989,2025-12-03,118.0,-3.42,,rational_take_profit,
TX000275,INV0015,buy,mixed_low,3,9867,2024-07-25,,,social_media,,True
TX000276,INV0015,buy,bond,2,8561,2025-10-24,,,advisor,,False
TX000277,INV0015,buy,mixed_low,3,15285,2025-05-06,,,friend,,True
TX000278,INV0015,sell,mixed_low,3,4165,2025-12-16,140.0,-10.33,,need_cash,
TX000279,INV0015,buy,mixed_low,3,15518,2025-02-25,,,friend,,False
TX000280,INV0015,buy,mixed_medium,3,3255,2025-04-12,,,advisor,,False
TX000281,INV0015,buy,fund,4,22869,2025-11-21,,,advisor,,False
TX000282,INV0015,sell,mixed_medium,3,4478,2024-07-18,84.0,6.37,,rational_take_profit,
TX000283,INV0015,sell,mixed_low,3,21828,2024-10-23,32.0,15.97,,need_cash,
TX000284,INV0015,sell,fund,4,16117,2024-11-28,150.0,7.6,,need_cash,
TX000285,INV0016,sell,etf,4,7437,2024-10-15,43.0,-13.94,,need_cash,
TX000286,INV0016,sell,stock,4,9745,2025-06-05,20.0,-2.05,,need_cash,
TX000287,INV0016,buy,stock,4,18540,2025-05-13,,,self,,False
TX000288,INV0016,sell,mixed_medium,3,8814,2025-08-12,13.0,0.12,,rational_take_profit,
TX000289,INV0016,sell,fund,4,12352,2025-02-17,7.0,-2.11,,rational_take_profit,
TX000290,INV0016,buy,fund,4,4087,2025-06-26,,,advisor,,True
TX000291,INV0016,buy,stock,4,15783,2024-08-08,,,friend,,True
TX000292,INV0016,sell,mixed_medium,3,16974,2024-10-30,39.0,-17.66,,follow_others,
TX000293,INV0016,sell,fund,4,8016,2024-07-10,39.0,6.96,,rational_take_profit,
TX000294,INV0016,sell,fund,4,12707,2024-07-23,10.0,11.48,,need_cash,
TX000295,INV0016,sell,stock,4,5319,2025-10-25,6.0,-9.28,,panic,
TX000296,INV0016,buy,stock,4,10164,2024-11-14,,,friend,,False
TX000297,INV0016,sell,stock,4,18574,2024-09-20,42.0,-7.59,,panic,
TX000298,INV0016,buy,etf,4,11364,2025-05-19,,,advisor,,False
TX000299,INV0016,buy,fund,4,6184,2024-10-23,,,self,,True
TX000300,INV0016,sell,fund,4,9103,2024-09-28,12.0,-0.73,,panic,
TX000301,INV0017,sell,etf,4,2370,2025-04-28,136.0,-2.03,,need_cash,
TX000302,INV0017,buy,crypto,5,4051,2025-09-12,,,self,,False
TX000303,INV0017,buy,crypto,5,2589,2024-09-12,,,self,,False
TX000304,INV0017,buy,etf,4,1748,2025-02-13,,,self,,False
TX000305,INV0017,sell,fund,4,5831,2025-09-03,20.0,-7.75,,panic,
TX000306,INV0017,buy,stock,4,1844,2024-11-08,,,friend,,False
TX000307,INV0017,buy,stock,4,2101,2025-06-05,,,advisor,,False
TX000308,INV0017,sell,stock,4,2739,2024-12-02,95.0,-2.85,,follow_others,
TX000309,INV0017,buy,fund,4,959,2025-04-10,,,advisor,,False
TX000310,INV0017,buy,stock,4,2150,2025-01-21,,,self,,False
TX000311,INV0017,sell,stock,4,4383,2025-04-10,158.0,11.48,,need_cash,
TX000312,INV0017,buy,stock,4,4575,2025-12-18,,,friend,,False
TX000313,INV0017,sell,stock,4,5758,2025-04-14,71.0,5.41,,follow_others,
TX000314,INV0017,buy,crypto,5,4453,2025-05-21,,,social_media,,False
TX000315,INV0017,buy,stock,4,4217,2024-11-04,,,self,,False
TX000316,INV0017,buy,stock,4,4566,2025-06-03,,,advisor,,False
TX000317,INV0017,buy,stock,4,3908,2025-06-08,,,self,,False
TX000318,INV0018,sell,savings_insurance,1,2520,2025-04-16,24.0,17.86,,rational_take_profit,
TX000319,INV0018,buy,deposit,1,4570,2024-08-03,,,advisor,,False
TX000320,INV0018,sell,money_market,2,4142,2025-09-26,65.0,18.34,,rational_take_profit,
TX000321,INV0018,sell,deposit,1,4554,2025-09-24,118.0,-3.78,,rational_take_profit,
TX000322,INV0018,buy,deposit,1,1427,2024-11-22,,,advisor,,False
TX000323,INV0018,sell,deposit,1,4414,2025-12-16,112.0,22.63,,rational_take_profit,
TX000324,INV0018,buy,deposit,1,1037,2024-10-28,,,advisor,,False
TX000325,INV0018,sell,savings_insurance,1,3480,2024-07-11,73.0,14.02,,need_cash,
TX000326,INV0018,sell,money_market,2,2373,2025-02-09,24.0,24.73,,need_cash,
TX000327,INV0019,buy,stock,4,10065,2025-03-30,,,friend,,True
TX000328,INV0019,buy,fund,4,5802,2025-12-03,,,social_media,,True
TX000329,INV0019,buy,fund,4,8111,2024-09-30,,,social_media,,False
TX000330,INV0019,buy,etf,4,10917,2025-02-24,,,friend,,True
TX000331,INV0019,sell,fund,4,3534,2025-12-16,134.0,-0.61,,rational_take_profit,
TX000332,INV0019,buy,etf,4,12121,2024-12-15,,,self,,True
TX000333,INV0019,buy,mixed_medium,3,11361,2025-08-08,,,friend,,True
